Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TSCO,"Tractor Supply Co",89.04,0.36,+0.41%,90.63,87.69,1551000,10/09/18
TSN,"Tyson Foods",62.83,-0.45,-0.71%,63.54,62.8,3772800,10/09/18
TSS,"Total System Services",95.31,0.38,+0.40%,96.06,94.44,1238800,10/09/18
TTWO,"Take-Two Interacti",127.95,1.13,+0.89%,130,124.38,1602300,10/09/18
TWTR,"Twitter Inc",29.27,0.82,+2.88%,29.57,28.34,22759199,10/09/18
TXN,"Texas Instruments",102.87,0.94,+0.92%,103.15,101.55,6041600,10/09/18
TXT,"Textron Inc",70.33,-1.37,-1.91%,71.53,70.3,1034100,10/09/18
UA,"Under Armour Inc Class C Comm",17.72,0.04,+0.23%,18.25,17.66,1719500,10/09/18
UAA,"Under Armour",19.4,0.05,+0.26%,19.95,19.34,3154600,10/09/18
UAL,"United Continental Holdings",81.43,-2.25,-2.69%,84.41,81.28,4287200,10/09/18
UDR,"United Dominion Realty Trust",40.31,0.15,+0.37%,40.31,39.64,1451000,10/09/18
UHS,"Universal Health Services",127.57,1.24,+0.98%,128.09,125.91,401700,10/09/18
ULTA,"Ulta Salon Cosmetic",275.68,2.19,+0.80%,278,272.67,703000,10/09/18
UNH,"Unitedhealth Group Inc",270.11,1.1,+0.41%,271.95,268.47,2510300,10/09/18
UNM,"Unumprovident Corp",39.81,-0.42,-1.04%,40.11,39.37,2090500,10/09/18
UNP,"Union Pacific Corp",162.39,-2.17,-1.32%,164.66,162.27,3558700,10/09/18
UPS,"United Parcel Service",117.92,-0.86,-0.72%,118.7,117.43,4652600,10/09/18
URI,"United Rentals",152.74,-3.33,-2.13%,155.71,152.62,1177600,10/09/18
USB,"U.S. Bancorp",53.95,0.02,+0.04%,54.22,53.42,5517500,10/09/18
UTX,"United Technologies Corp",135.88,-3.71,-2.66%,139.95,135.69,4768200,10/09/18
V,"Visa Inc",142.31,0.42,+0.30%,143.29,141.12,10798400,10/09/18
VAR,"Varian Medical Systems",107.91,0.25,+0.23%,108.92,107.16,542800,10/09/18
VFC,"V.F. Corp",92.58,0.19,+0.21%,93.4,91.99,2669000,10/09/18
VIAB,"Viacom Inc Cl B",32.82,0.08,+0.24%,33.62,32.58,3312500,10/09/18
VLO,"Valero Energy Corp",115.66,-0.52,-0.45%,117.51,115.35,2400400,10/09/18
VMC,"Vulcan Materials Company",109.15,-1.52,-1.37%,110.59,109.04,1002600,10/09/18
VNO,"Vornado Realty Trust",71.4,-0.12,-0.17%,71.81,70.97,1153800,10/09/18
VRSK,"Verisk Analytics Inc",120.57,1.4,+1.17%,121.18,119.32,860800,10/09/18
VRSN,"Verisign Inc",148.02,-2.76,-1.83%,151.98,147.45,1091700,10/09/18
VRTX,"Vertex Pharmaceutic",185.66,0.32,+0.17%,187.96,184.78,1087200,10/09/18
VTR,"Ventas Inc",54.36,0.46,+0.85%,54.44,53.44,1663700,10/09/18
VZ,"Verizon Communications Inc",54.99,-0.03,-0.05%,55.14,54.03,16962400,10/09/18
WAT,"Waters Corp",181.5,-1.45,-0.79%,182.76,180.92,739000,10/09/18
WBA,"Walgreens Boots Alliance",73.56,-0.59,-0.80%,73.82,72.91,5194700,10/09/18
WCG,"Wellcare Group",311.18,0.55,+0.18%,312.74,308.19,431200,10/09/18
WDC,"Western Digital Cp",54.42,-1.23,-2.21%,55.64,53.58,4040800,10/09/18
WEC,"Wisconsin Energy Corp",69.06,0.32,+0.47%,69.57,68.68,2698600,10/09/18
WELL,"Welltower Inc",63.98,0.78,+1.23%,64.01,62.72,2086700,10/09/18
WFC,"Wells Fargo & Company",53.53,-0.14,-0.26%,53.97,52.97,15918600,10/09/18
WHR,"Whirlpool Corp",106.3,-6.26,-5.56%,111,106.06,1662100,10/09/18
WLTW,"Willis Towers Wts",142.59,-0.21,-0.15%,144.03,141.84,473600,10/09/18
WM,"Waste Management",91.27,0.39,+0.43%,91.66,90.49,2248700,10/09/18
WMB,"Williams Companies",27.63,-0.06,-0.22%,27.72,27.33,9053800,10/09/18
WMT,"Wal-Mart Stores",97.08,2.39,+2.52%,97.74,95.19,11598800,10/09/18
WRK,"Westrock Company",45.25,-3.88,-7.90%,47.1,44.18,6043200,10/09/18
WU,"Western Union Company",18.17,0.15,+0.83%,18.2,17.85,7283500,10/09/18
WY,"Weyerhaeuser Company",30.53,-0.32,-1.04%,30.92,30.25,3250200,10/09/18
WYNN,"Wynn Resorts Ltd",118.96,2.69,+2.31%,119.58,115.6,2643100,10/09/18
XEC,"Cimarex Energy Co",100.44,1.19,+1.20%,101.19,98.96,1506100,10/09/18
XEL,"XCEL Energy Inc",49.01,0.23,+0.47%,49.3,48.7,3519600,10/09/18
XLNX,"Xilinx Inc",77.65,0.18,+0.23%,78.52,77,1732300,10/09/18
XOM,"Exxon Mobil Corp",86.51,0.38,+0.44%,86.88,85.74,10177800,10/09/18
XRAY,"Dentsply Sirona Inc",35.75,-0.28,-0.78%,36.11,35.59,1841600,10/09/18
XRX,"Xerox Corp",26.21,-0.35,-1.32%,26.67,26.12,1810400,10/09/18
XYL,"Xylem Inc",74.42,-3.32,-4.27%,77.82,74.35,1859400,10/09/18
YUM,"Yum! Brands",91.18,0.54,+0.60%,92.21,90.77,2162900,10/09/18
ZBH,"Zimmer Biomet Holdings",126.91,-0.46,-0.36%,128.23,125.92,831000,10/09/18
ZION,"Zions Bancorporation",51.67,-0.42,-0.81%,52.01,51.45,1524500,10/09/18
ZTS,"Zoetis Inc Class A",92.55,1.08,+1.18%,93.03,91.03,1987800,10/09/18
